Código Interno Medicamento,Tarifa de la unidad Farmacéutica,Número de Expediente del INVIMA,Consecutivo INVIMA (Presentación),Descripción Genérica del Medicamento (DCI),Descripción Comercial del Medicamento,Laboratorio del Medicamento,Tipo de Inclusion del Medicamento (PBS/NOPBS)
12633,"176,727.27",19959808,1,ACIDO ZOLEDRONICO VIAL INST CAJA X 1,ACLASTA LIVI 5MG/100ML(0.05MG/ML) SOL INY VIAL INST CAJA X 1,PHARMALAB PHL LABORATORIOS S.A.S.,PBS
11367,"1,927,657.00",20039088,11,AFLIBERCEPT 2MG SOL INY JER PRELL INST CAJA X 1,EYLIA 2MG SOL INY JER PRELL INST CAJA X 1,BAYER SA,PBS
11368,"3,027,619.86",20039088,3,AFLIBERCEPT 2MG/0.05ML(40MG/ML) SOL INY JER PRELL INST CAJA X 1,EYLIA 2MG/0.05ML(40MG/ML) SOL INY JER PRELL INST CAJA X 1,BAYER SA,PBS
GH0034,"413,930.00",20042955,7,CARBOXIMALTOSA DE HIERRO 500MG/10ML (50MG/ML) SOLUCION INYECTABLE,FERINJECT ® CARBOXIMALTOSA DE HIERRO 500MG/10ML (50MG/ML) SOLUCION INYECTABLE CAJA X VIAL X 10ML,FARMA DE COLOMBIA SAS,PBS
12690,"7,420.00",226891,3,CARBOXIMETILCELULOSA SODICA 5MG/ML(0.5%) SOL OFT 15ML INST FRASCO,REFRESH TEARS 5MG/ML(0.5%) SOL OFT 15ML INST FRASCO,ABBVIE SAS,PBS
12937,"80,000.00",20158154,1,DARBEPOETINA 0.40MCG JER_PRELL INST CAJA X 1,DARESP 0.40MCG JER_PRELL INST CAJA X 1,SEVEN PHARMA COLOMBIA S A S,PBS
10342,"627,230",20028103,1,DENOSUMAB 60MG/ML SOL INY INST JER PREL CAJA X 1,PROLIA 60MG/ML SOL INY INST JER PREL CAJA X 1,AMGEN BIOTECNOLOGICA S A S,PBS
RC0052,"78,094.00",200666,1,"DORNASE ALFA 2,5MG/2,5ML SOLUCION PARA INHALACION","PULMOZYME DORNASE ALFA 2,5MG/2,5ML SOLUCION PARA INHALACION CAJA X 6 AMPOLLAS",AMAREY NOVA MEDICAL S.A,PBS
10670,"1,064,730.18",20092268,2,ELIGLUSTAT 84MG CAP INST CAJA X 56,CERDELGA 84MG CAP INST CAJA X 56,SANOFI-AVENTIS DE COLOMBIA S.A.,NO PBS
10156,"56,178.18",20193113,1,ELTROMBOPAG 25MG TAB REC INST CAJA X 30,BIEMPAG 25MG TAB REC INST CAJA X 30,GENBIE SAS,PBS
10946,"107,846",20019167,2,ELTROMBOPAG 25MG TAB REC INST CAJA X 30,REVOLADE 25MG TAB INST CAJA X 28,NOVARTIS DE COLOMBIA SA,PBS
10157,"111,599.09",20193113,2,ELTROMBOPAG 50MG TAB REC INST CAJA X 30,BIEMPAG 50MG TAB REC INST CAJA X 30,GENBIE SAS,PBS
10947,"215,692",20019264,2,ELTROMBOPAG 50MG TAB REC INST CAJA X 30,REVOLADE 50MG TAB INST CAJA X 28,NOVARTIS DE COLOMBIA SA,PBS
10777,"348,000.00",19948946,1,ERITROPOYETINA HUMANA RECOMBIN 30000UI/0.6ML(50000UI/ML) SOL INY JER_PREL INST CAJA X 1,RECORMON 30000UI/0.6ML(50000UI/ML) SOL INY JER_PREL INST CAJA X 1,PRODUCTOS ROCHE S.A.,PBS
PX0091,"7,400.00",55554,8,ERITROPOYETINA HUMANA RECOMBINANTE 2.000UI POLVO LIOFILIZADO A SOLUCION INYECTABLE,EPOYET ERITROPOYETINA HUMANA RECOMBINANTE 2.000UI POLVO LIOFILIZADO A SOLUCION INYECTABLE CAJA X 25 VIALES,BIOSIDUS COLOMBIA S.A.S.,PBS
11055,"6,950.00",19978667,5,ERITROPOYETINA LIOFILIZADO 2000 UI AMP CAJA X 12,ERITROMAX LIOFILIZADO 2000 UI AMP CAJA X 12,BLAU FARMACEUTICA COLOMBIA S.A.S.,PBS
11057,"5,190.00",20096478,6,ERITROPOYETINA RECOMBINANTE HUMANA 2000UI AMP CAJA X 25,ERITROMAX 2000UI SOL INY AMP CAJA X 25,BLAU FARMACEUTICA COLOMBIA S.A.S.,PBS
11058,"8,590.00",19960160,6,ERITROPOYETINA RECOMBINANTE HUMANA 4000UI/ML AMP CAJA X 25,ERITROMAX 4000UI SOL INY AMP CAJA X 25,BLAU FARMACEUTICA COLOMBIA S.A.S.,PBS
LL0054,"1,080,900.00",20155001,2,GALCANEZUMAB 120MG/ML SOLUCION INYECTABLE,EMGALITY GALCANEZUMAB 120MG/ML SOLUCION INYECTABLE CAJA X PLUMA PRELLENADA X ML,ORGANON COLOMBIA SAS,NO PBS
10340,"769,921.40",201182,5,GOSERELINA ACETATO 10.8MG ACCION PROLSUBDER JER PREL CAJA X 1,ZOLADEX 10.8MG ACCION PROLSUBDER JER PREL CAJA X 1,ASTRAZENECA COLOMBIA S.A.S.,PBS
10341,"260,708.97",47155,3,GOSERELINA ACETATO 3.6MG IMP SUBDER CAJA X 1,ZOLADEX DEPOT 3.6MG IMP SUBDER CAJA X 1,ASTRAZENECA COLOMBIA S.A.S.,PBS
11043,"186,006.00",19975089,1,INMUNOGLOBULINA ANTI D 300MG (ANTI-RH) JER_PREL 2ML CAJA X 1,RHOPHYLAC 300MG (ANTI-RH) JER_PREL 2ML CAJA X 1,CSL BEHRING COLOMBIA SAS,PBS
10163,"641,529.00",AS 2025000472,0,INMUNOGLOBULINA HUMANA 5%/50MG/ML SOL INY INST VIAL CAJA X 1,SUNGLOB 5%/50MG/ML VIAL INST CAJA X 1,GENBIE SAS,PBS
11045,"1,028,680.00",20060252,3,INMUNOGLOBULINA HUMANA G SUBCUTANEA 20% 4GRM/20ML 4GRM/20ML VIAL CAJA X 1,HIZENTRA 20% 4GRM/20ML 4GRM/20ML VIAL CAJA X 1,CSL BEHRING COLOMBIA SAS,PBS
11061,"661,309.52",AS 2025000647,N/A,INMUNOGLOBULINA HUMANA NORMAL 5GR/100ML 5% VIAL CAJA X 1,IMMUGLO 5GR/100ML 5% VIAL CAJA X 1,BLAU FARMACEUTICA COLOMBIA S.A.S.,PBS
11263,"1,441,750.00",20091369,2,INMUNOGLOBULINA HUMANA NORMAL+HIALURONIDASA 100MG/ML 5GR SOL INY VIAL INST CAJA X 1,HYQVIA 100MG/ML 5GR SOL INY VIAL INST CAJA X 1,TAKEDA COLOMBIA S.A.S,PBS
11262,"2,883,500.00",20091369,3,INMUNOGLOBULINA HUMANA NORMAL+HIALURONIDASA 10GR/100ML(10%) SOL INY VIAL INST CAJA X 1,HYQVIA 10GR/100ML(10%) SOL INY VIAL INST CAJA X 1,TAKEDA COLOMBIA S.A.S,PBS
10703,"1,457,806.00",19961931,1,LARONIDASA 2.9MG/5ML (0.58MG/ML) SOL INY INST VIAL  CAJA X 1,ALDURAZYME 2.9MG/5ML (0.58MG/ML) SOL INY INST VIAL CAJA X 1,SANOFI-AVENTIS DE COLOMBIA S.A.,NO PBS
CHALV01,"100,000.00",19927034,1,LEUPROLIDA ACETATO 3.75MG POLVO PARA SOLUCION INYECTABLE SUBCUTANEA,LEPROSTIN LEUPROLIDA ACETATO 3.75MG POLVO PARA SOLUCION INYECTABLE SUBCUTANEA,CHALVER,PBS
TF0001,"790,000.00",19956218,4,"LEUPROLIDE ACETATO 22,5MG POLVO A SOLUCION INYECTABLE","ELIGARD® LEUPROLIDE ACETATO 22,5MG POLVO A SOLUCION INYECTABLE CAJA X JERINGA PRELLENADA",ADIUM SAS,PBS
TF0055,"1,750,000.00",20032905,1,LEUPROLIDE ACETATO 45MG POLVO LIOFILIZADO A SOLUCION INYECTABLE,ELIGARD ® LEUPROLIDE ACETATO 45MG POLVO LIOFILIZADO A SOLUCION INYECTABLE CAJA X JERINGA PRELLENADA,ADIUM SAS,PBS
BR0045,"4,950,000.00",20204201,1,LUSPATERCEPT 25MG POLVO A SOLUCION INYECTABLE,REBLOZYL® LUSPATERCEPT 25MG POLVO A SOLUCION INYECTABLE CAJA X VIAL,BRISTOL MYERS SQUIBB DE COLOMBIA SA,NO PBS
BR0046,"14,880,000.00",20204201,3,LUSPATERCEPT 75MG POLVO A SOLUCION INYECTABLE,REBLOZYL® LUSPATERCEPT 75MG POLVO A SOLUCION INYECTABLE CAJA X VIAL,BRISTOL MYERS SQUIBB DE COLOMBIA SA,NO PBS
RC0048,"481,864.00",19988117,1,"METOXIPOLIETILENGLICOL + EPOETINA BETA 100MCG/0,3ML SOLUCION INYECTABLE","MIRCERA 100MCG/0,3ML SOLUCION INYECTABLE CAJA X JERINGA PRELLENADA X 0,3ML",AMAREY NOVA MEDICAL S.A,PBS
RC0067,"722,700.00",19988123,1,"METOXIPOLIETILENGLICOL + EPOETINA BETA 150MCG/0,3ML SOLUCION INYECTABLE","MIRCERA® 150MCG/0,3ML SOLUCION INYECTABLE CAJA X JERINGA PRELLENADA X 0,3ML",AMAREY NOVA MEDICAL S.A,PBS
ORP006,"92,424",20194275,1,OSILODROSTAT 1MG COMPRIMIDO RECUBIERTO,ISTURISA ® 1MG COMPRIMIDO RECUBIERTO CAJA X 60,RECORDATI RARE DISEASES COLOMBIA SAS,NO PBS
ORP010,"462,124.00",20194528,1,OSILODROSTAT 5MG TABLETA RECUBIERTA ORAL,ISTURISA ®  5MG COMPRIMIDO RECUBIERTO CAJA X 60,RECORDATI RARE DISEASES COLOMBIA SAS,NO PBS
10822,"1,970,000.00",20112358,3,PALMITATO DE PALIPERIDONA 410MG JER_PREL INST CAJA X 1,INVEGA TRINZA 410MG JER_PREL INST CAJA X 1,JANSSEN CILAG S.A.,PBS
10823,"2,240,000.00",20112358,5,PALMITATO DE PALIPERIDONA 546MG JER_PREL INST CAJA X 1,INVEGA TRINZA 546MG JER_PREL INST CAJA X 1,JANSSEN CILAG S.A.,PBS
10821,"607,675.00",20020732,1,PALMITATO DE PALIPERIDONA 75MG/0.75ML(100MG/ML) VIAL INST CAJA X 1,INVEGA SUSTENNA 75MG/0.75ML(100MG/ML) VIAL INST CAJA X 1,JANSSEN CILAG S.A.,PBS
10824,"2,920,000.00",20112358,7,PALMITATO DE PALIPERIDONA 819MG JER_PREL INST CAJA X 1,INVEGA TRINZA 819MG JER_PREL INST CAJA X 1,JANSSEN CILAG S.A.,PBS
10819,"843,000.00",20020734,5,PALMITATO DE PALIPERIDONA+2 AGUJAS 100MG/ML VIAL INST CAJA X 1,INVEGA SUSTENNA+2AGUJAS 100MG/ML VIAL INST CAJA X 1,JANSSEN CILAG S.A.,PBS
10820,"1,099,000.00",20020735,2,PALMITATO DE PALIPERIDONA+2 AGUJAS 150MG/1.5ML(100MG/ML) VIAL INST CAJA X 1,INVEGA SUSTENNA+2 AGUJAS 150MG/1.5ML(100MG/ML) VIAL INST CAJA X 1,JANSSEN CILAG S.A.,PBS
ORP007,"173,079.00",20058193,3,"PASIREOTIDA 0,6MG/ML SOLUCION INYECTABLE","SIGNIFOR® 0,6MG/ML SOLUCION INYECTABLE CAJA X 60 AMPOLLAS X ML",RECORDATI RARE DISEASES COLOMBIA SAS,NO PBS
ORP008,"11,538,620.00",20090641,1,PASIREOTIDA 40MG POLVO A SOLUCION INYECTABLE,SIGNIFOR® LAR 40MG POLVO A SOLUCION INYECTABLE CAJA X VIAL,RECORDATI RARE DISEASES COLOMBIA SAS,NO PBS
ORP009,"17,307,930.00",20090642,1,PASIREOTIDA 60MG POLVO PARA SOLUCION INYECTABLE INTRAMUSCULAR,SIGNIFOR ® 60MG POLVO A SOLUCION INYECTABLE CAJA X VIAL + DILUYENTE,RECORDATI RARE DISEASES COLOMBIA SAS,NO PBS
11169,134.00,20199954,1,RISPERIDONA 1MG TAB INST CAJA X 100,ZYRISP 1MG TAB INST CAJA X 100,LABORATORIOS LA SANTE S.A.,PBS
11811,"12,840.55",20153948,1,RISPERIDONA 1MG/ML(0.1%) SOL ORAL X 30ML INST FRASCO,RISPERIDONA 1MG/ML(0.1%) SOL ORAL X 30ML INST FRASCO,GENFAR S.A.,PBS
11170,153.00,20199954,1,RISPERIDONA 2MG TABLETA RECUBIERTA,ZYRISP 2MG TAB INST CAJA X 100,LABORATORIOS LA SANTE S.A.,PBS
EUF076,156.00,20160734,2,RISPERIDONA 2MG TABLETA RECUBIERTA,ISPERIN ®  2MG TABLETA RECUBIERTA CAJA X 30,EUROFARMA COLOMBIA SAS,PBS
10831,"260,000.00",19934447,2,RISPERIDONA CONSTA 25MG POLV INY INST JER_PREL CAJA X 1,RISPERDAL CONSTA 25MG POLV INY INST JER_PREL CAJA X 1,JANSSEN CILAG S.A.,PBS
10832,"385,000.00",19998043,3,RISPERIDONA CONSTA 37.5MG POLV INY VIAL INST CAJA X 1,RISPERDAL CONSTA 37.5MG POLV INY VIAL INST CAJA X 1,JANSSEN CILAG S.A.,PBS
10517,"613,305.00",20166381,1,"ROMOSOZUMAB  90MG/ML (105MG/1,17ML) SOL INY JER PREL INST CAJA X 2","EVENITY 90MG/ML (105MG/1,17ML) SOL INY JER PREL INST CAJA X 2",AMGEN BIOTECNOLOGICA S A S,NO PBS
PX0095,"16,529.00",19961660,4,"TACROLIMUS 0,03G/100G (0,03%) UNGUENTO TOPICO","CROMUS 0,03G/100G (0,03%) UNGUENTO TOPICO CAJA CON TUBO X 15G",PROCAPS SA,PBS
PX0075,"29,700.00",19961660,5,"TACROLIMUS 0,03G/100G (0,03%) UNGUENTO TOPICO","CROMUS  0,03G/100G (0,03%) UNGUENTO TOPICO CAJA CON TUBO X 30G",PROCAPS SA,PBS
PX0096,"32,390.00",19961661,1,"TACROLIMUS 0,1G/100G (0,1%) UNGUENTO TOPICO","CROMUS 0,1G/100G (0,1%) UNGUENTO TOPICO CAJA CON TUBO X 15G",PROCAPS SA,PBS
PX0076,"41,580.00",19961661,2,"TACROLIMUS 0,1G/100G (0,1%) UNGUENTO TOPICO","CROMUS  0,1G/100G (0,1%) UNGUENTO TOPICO CAJA CON TUBO X 30G",PROCAPS SA,PBS
12654,"1,777.27",20024899,3,TACROLIMUS 1MG 100HGC TAB INST CAJA X 100,TACROLIMUS 1MG 100HGC TAB INST CAJA X 100,PHARMALAB PHL LABORATORIOS S.A.S.,PBS
12655,"10,454.55",20024901,2,TACROLIMUS 5MG 50HGC TAB INST CAJA X 50,TACROLIMUS 5MG 50HGC TAB INST CAJA X 50,PHARMALAB PHL LABORATORIOS S.A.S.,PBS
12663,"4,951.64",20192446,2,TACROLIMUS LP 1MG 50PRCH CAP INST CAJA X 50,TACROLIMUS LP 1MG 50PRCH CAP INST CAJA X 50,PHARMALAB PHL LABORATORIOS S.A.S.,PBS
12665,"23,990.00",20192753,1,TACROLIMUS LP 5MG 50PRCH CAP INST CAJA X 50,TACROLIMUS LP 5MG 50PRCH CAP INST CAJA X 50,PHARMALAB PHL LABORATORIOS S.A.S.,PBS
BSD004,"19,493.25",20100066,3,TERIPARATIDA 250MCG/ML SOLUCION INYECTABLE,"BIOSETT ®250MCG/ML SOLUCION INYECTABLE CAJA X 30 JERINGAS PRELLENADAS X 0,08ML",BIOSIDUS COLOMBIA S.A.S.,PBS
13346,"565,000.00",20177308,12,"TERIPARATIDA 600MCG/2,4ML (250MCG/ML) SOLUCION INYECTABLE",TERROSA 20MCG/0.08ML (0.25MG/ML) SOL INY CARTUCHO X 2.4ML INST CAJA X 1,GEDEON RICHTER COLOMBIA SAS,PBS
HU0064,"445,000.00",20049559,1,TOXINA BOTULINICA TIPO A 100UI POLVO LIOFILIZADO A SOLUCION INYECTABLE,NEURONOX  100UI POLVO LIOFILIZADO A SOLUCION INYECTABLE CAJA X VIAL,HUMAX PHARMACEUTICAL SA,NO PBS
10598,"675,000.00",45122,1,TOXINA BOTULINICA TIPO A 100UI TIPO A POLV INY INST VIAL,BOTOX 100UI TIPO A POLV INY INST VIAL,ABBVIE SAS,NO PBS
HU0144,"850,000.00",20117561,2,TOXINA BOTULINICA TIPO A 200UI POLVO LIOFILIZADO A SOLUCION INYECTABLE,NEURONOX®  200UI POLVO LIOFILIZADO A SOLUCION INYECTABLE CAJA X VIAL,HUMAX PHARMACEUTICAL SA,NO PBS
10599,"1,261,609.00",20019432,1,TOXINA BOTULINICA TIPO A 200UI TIPO A POLV INY INST VIAL,BOTOX 200UI TIPO A POLV INY INST VIAL,ABBVIE SAS,NO PBS
BP0080,"422,364.00",20032324,1,TOXINA BOTULINICA TIPO A 300UI POLVO LIOFILIZADO A SOLUCION INYECTABLE,DYSPORT  300UI POLVO LIOFILIZADO A SOLUCION INYECTABLE CAJA X VIAL,IPSEN COLOMBIA SAS,NO PBS
BP0015,"703,940.00",19913029,1,TOXINA BOTULINICA TIPO A 500UI POLVO LIOFILIZADO A SOLUCION INYECTABLE,DYSPORT®  500UI POLVO LIOFILIZADO A SOLUCION INYECTABLE CAJA X VIAL,IPSEN COLOMBIA SAS,NO PBS
HU0098,"321,900.00",20049561,1,TOXINA BOTULINICA TIPO A 50UI POLVO LIOFILIZADO A SOLUCION INYECTABLE,NEURONOX®  50UI POLVO LIOFILIZADO A SOLUCION INYECTABLE CAJA X VIAL,HUMAX PHARMACEUTICAL SA,NO PBS
10597,"338,655.00",20004997,1,TOXINA BOTULINICA TIPO A 50UI TIPO A POLV INY INST VIAL,BOTOX 50UI TIPO A POLV INY INST VIAL,ABBVIE SAS,NO PBS
TF0034,"1,039,173.00",19953802,1,"TRIPTORELINA PAMOATO 11,25MG POLVO LIOFILIZADO A SOLUCION INYECTABLE","DECAPEPTYL 11,25MG POLVO LIOFILIZADO A SOLUCION INYECTABLE CAJA X VIAL",ADIUM SAS,PBS
TF0072,"2,100,000.00",20060305,1,"TRIPTORELINA PAMOATO 22,5MG POLVO LIOFILIZADO A SOLUCION INYECTABLE","DECAPEPTYL 22,5MG POLVO LIOFILIZADO A SOLUCION INYECTABLE CAJA X VIAL + DILUYENTE",ADIUM SAS,PBS
VT0002,"39,897.90",19980647,1,"ZOLEDRONICO ACIDO 4MG/5ML (0,8MG/ML) SOLUCION INYECTABLE","ZOLEDRONICO ACIDO 4MG/5ML (0,8MG/ML) SOLUCION INYECTABLE CAJA X VIAL X 5ML",VITALIS SA CI,PBS
PX0126,"23,536.80",20059036,1,"ZOLEDRONICO ACIDO 4MG/5ML (0,8MG/ML) SOLUCION INYECTABLE","ZOCLAST ® 4MG/5ML (0,8MG/ML) SOLUCION INYECTABLE CAJA X VIAL X 5ML",PROCAPS SA,PBS
